"","","","edge_btw"
"152","Seth Curry","Goran Dragic","54.5861193928129"
"153","Seth Curry","Isaiah Thomas","60.1571151016119"
"154","Seth Curry","Gerald Green","66.7674692836766"
"155","Seth Curry","PJ Tucker","61.3867022186963"
"156","Seth Curry","Anthony Tolliver","85.266475184948"
"157","Seth Curry","Markieff Morris","54.0216939707841"
"158","Seth Curry","Mike Conley","54.5220692088304"
"159","Seth Curry","Marc Gasol","53.8480344192222"
"160","Seth Curry","James Johnson","62.98329498513"
"161","Seth Curry","Ed Davis","31.5069994468722"
"162","Seth Curry","Jon Leuer","45.8411510122722"
"163","Seth Curry","Quincy Pondexter","64.2274829434408"
"164","Maurice Harkless","Jake Layman","25.9063356456817"
"165","Maurice Harkless","Evan Turner","24.2770263516438"
"166","Maurice Harkless","Zach Collins","27.8050225267063"
"167","Maurice Harkless","Nik Stauskas","34.5523817708538"
"168","Maurice Harkless","Meyers Leonard","18.1474608225547"
"169","Maurice Harkless","Anfernee Simons","51.6683490640386"
"170","Maurice Harkless","Gary Trent Jr.","51.6683490640386"
"171","Maurice Harkless","Caleb Swanigan","27.8050225267063"
"172","Maurice Harkless","Wade Baldwin IV","27.8050225267063"
"173","Maurice Harkless","Pat Connaughton","35.3428437918768"
"174","Maurice Harkless","Noah Vonleh","31.3061832314758"
"175","Maurice Harkless","Shabazz Napier","20.598916905654"
"176","Maurice Harkless","Ed Davis","31.5725340488441"
"177","Maurice Harkless","Allen Crabbe","24.4571208361248"
"178","Maurice Harkless","Mason Plumlee","40.5860954788419"
"179","Maurice Harkless","Tim Frazier","39.402579499623"
"180","Maurice Harkless","Channing Frye","83.3050955489401"
"181","Maurice Harkless","Tobias Harris","58.3031585184706"
"182","Maurice Harkless","Dewayne Dedmon","76.0322750604854"
"183","Maurice Harkless","Nikola Vucevic","35.3199153104241"
"184","Maurice Harkless","Aaron Gordon","42.5560248027099"
"185","Maurice Harkless","Evan Fournier","42.0696429609224"
"186","Maurice Harkless","Victor Oladipo","43.0743478222662"
"187","Maurice Harkless","Kyle O'Quinn","50.7703124380246"
"188","Maurice Harkless","Elfrid Payton","30.3997401098381"
"189","Maurice Harkless","E'Twaun Moore","51.1184354364226"
"190","Maurice Harkless","Ish Smith","75.5030498950072"
"191","Maurice Harkless","JJ Redick","53.3972107096176"
"192","Jake Layman","Evan Turner","58.8460795583743"
"193","Jake Layman","Zach Collins","1.62007640240246"
"194","Jake Layman","Nik Stauskas","58.7486015671483"
"195","Jake Layman","Meyers Leonard","7.75152120795772"
"196","Jake Layman","Anfernee Simons","6.4558839941368"
"197","Jake Layman","Gary Trent Jr.","6.4558839941368"
"198","Jake Layman","Caleb Swanigan","1.62007640240246"
"199","Jake Layman","Wade Baldwin IV","1.62007640240246"
"200","Jake Layman","Pat Connaughton","26.6968250742964"
"201","Jake Layman","Noah Vonleh","43.2177454455637"
"202","Jake Layman","Shabazz Napier","46.3019807225711"
"203","Jake Layman","Ed Davis","62.8659754506333"
"204","Jake Layman","Allen Crabbe","25.0508310217303"
"205","Jake Layman","Mason Plumlee","30.4359568723109"
"206","Evan Turner","Zach Collins","64.3062024202761"
"207","Evan Turner","Nik Stauskas","35.2366576908284"
"208","Evan Turner","Meyers Leonard","39.8808158572478"
"209","Evan Turner","Anfernee Simons","96.3104922018411"
"210","Evan Turner","Gary Trent Jr.","96.3104922018411"
"211","Evan Turner","Caleb Swanigan","64.3062024202761"
"212","Evan Turner","Wade Baldwin IV","64.3062024202761"
"213","Evan Turner","Pat Connaughton","53.8185740521812"
"214","Evan Turner","Noah Vonleh","49.5273319922975"
"215","Evan Turner","Shabazz Napier","30.8166245515175"
"216","Evan Turner","Ed Davis","26.8308079069414"
"217","Evan Turner","Allen Crabbe","28.8916707366671"
"218","Evan Turner","Mason Plumlee","35.5424589465024"
"219","Evan Turner","RJ Hunter","65.1085716693896"
"220","Evan Turner","Terry Rozier","69.2898913779452"
"221","Evan Turner","Marcus Smart","60.0829667995334"
"222","Evan Turner","Avery Bradley","62.7776257479093"
"223","Evan Turner","Tyler Zeller","55.5030382142388"
"224","Evan Turner","Kelly Olynyk","55.1599175678253"
"225","Evan Turner","Jae Crowder","82.9227425482646"
"226","Evan Turner","Isaiah Thomas","42.8183126461889"
"227","Evan Turner","Amir Johnson","41.3713070931516"
"228","Evan Turner","Jonas Jerebko","86.74088407903"
"229","Evan Turner","Rajon Rondo","69.7692828211353"
"230","Evan Turner","Dwight Powell","60.9718312442442"
"231","Evan Turner","Jeff Green","63.6394844264243"
"232","Evan Turner","Thaddeus Young","69.7761286597749"
"233","Evan Turner","Lorenzo Brown","84.5779332153162"
"234","Evan Turner","Michael Carter-Williams","81.1966157301235"
"235","Evan Turner","Justin Holiday","80.5380844700485"
"236","Evan Turner","Nick Young","52.8987046758287"
"237","Evan Turner","Jrue Holiday","44.6725556029346"
"238","Evan Turner","Nikola Vucevic","59.2367840701866"
"239","Evan Turner","Jodie Meeks","68.3657407521464"
"240","Evan Turner","Andre Iguodala","47.5318884989845"
"241","Zach Collins","Nik Stauskas","60.0954265225387"
"242","Zach Collins","Meyers Leonard","9.78568161740862"
"243","Zach Collins","Anfernee Simons","5.05516845065607"
"244","Zach Collins","Gary Trent Jr.","5.05516845065607"
"245","Zach Collins","Caleb Swanigan","1"
"246","Zach Collins","Wade Baldwin IV","1"
"247","Zach Collins","Pat Connaughton","28.6292862554953"
"248","Zach Collins","Noah Vonleh","46.110495292413"
"249","Zach Collins","Shabazz Napier","51.997300803081"
"250","Zach Collins","Ed Davis","70.8869642194612"
"251","Nik Stauskas","Meyers Leonard","41.1597210762063"
"252","Nik Stauskas","Anfernee Simons","72.6370805472771"
"253","Nik Stauskas","Gary Trent Jr.","72.6370805472771"
"254","Nik Stauskas","Caleb Swanigan","60.0954265225387"
"255","Nik Stauskas","Wade Baldwin IV","60.0954265225387"
"256","Nik Stauskas","Justin Anderson","38.5285650352963"
"257","Nik Stauskas","Jahlil Okafor","28.179968770122"
"258","Nik Stauskas","Joel Embiid","33.5384212609386"
"259","Nik Stauskas","JJ Redick","33.9544760119915"
"260","Nik Stauskas","Ben Simmons","38.3633367287776"
"261","Nik Stauskas","Robert Covington","25.4014889105999"
"262","Nik Stauskas","Dario Saric","33.5384212609386"
"263","Nik Stauskas","Markelle Fultz","38.3633367287776"
"264","Nik Stauskas","T.J. McConnell","38.3633367287776"
"265","Nik Stauskas","Furkan Korkmaz","38.3633367287776"
"266","Nik Stauskas","Amir Johnson","39.3097673839135"
"267","Nik Stauskas","Richaun Holmes","32.4577948044143"
"268","Nik Stauskas","Timothe Luwawu-Cabarrot","45.6739858583702"
"269","Nik Stauskas","Jerryd Bayless","75.6449787397428"
"270","Nik Stauskas","Alex Poythress","55.6707233893645"
"271","Nik Stauskas","Jerami Grant","44.8122466749399"
"272","Nik Stauskas","Nerlens Noel","47.6732307738331"
"273","Nik Stauskas","Chasson Randle","53.9709941670134"
"274","Nik Stauskas","Christian Wood","57.0242704098234"
"275","Nik Stauskas","JaKarr Sampson","77.0070086269991"
"276","Nik Stauskas","Isaiah Canaan","59.0225289234418"
"277","Nik Stauskas","Omri Casspi","98.3315202371605"
"278","Nik Stauskas","Ben McLemore","80.499019187133"
"279","Nik Stauskas","Darren Collison","57.1515162223908"
"280","Nik Stauskas","Rudy Gay","59.6576415030238"
"281","Nik Stauskas","Eric Moreland","53.8239611612711"
"282","Nik Stauskas","DeMarcus Cousins","67.8693578203588"
"283","Meyers Leonard","Anfernee Simons","18.3847274507829"
"284","Meyers Leonard","Gary Trent Jr.","18.3847274507829"
"285","Meyers Leonard","Caleb Swanigan","9.78568161740862"
"286","Meyers Leonard","Wade Baldwin IV","9.78568161740862"
"287","Meyers Leonard","Pat Connaughton","27.8921294920472"
"288","Meyers Leonard","Noah Vonleh","34.1482891838847"
"289","Meyers Leonard","Shabazz Napier","34.8148202448818"
"290","Meyers Leonard","Ed Davis","40.1119821505757"
"291","Meyers Leonard","Allen Crabbe","13.9940142962416"
"292","Meyers Leonard","Mason Plumlee","23.9444093652869"
"293","Meyers Leonard","Tim Frazier","58.6501020580244"
"294","Meyers Leonard","Robin Lopez","76.9179106676265"
"295","Meyers Leonard","Nicolas Batum","47.5414110865967"
"296","Meyers Leonard","Wesley Matthews","57.4801418890171"
"297","Meyers Leonard","Will Barton","20.7687580608231"
"298","Meyers Leonard","LaMarcus Aldridge","48.7758590434462"
"299","Anfernee Simons","Gary Trent Jr.","1"
"300","Anfernee Simons","Caleb Swanigan","5.05516845065607"
"301","Anfernee Simons","Wade Baldwin IV","5.05516845065607"
"302","Gary Trent Jr.","Caleb Swanigan","5.05516845065607"
"303","Gary Trent Jr.","Wade Baldwin IV","5.05516845065607"
"304","Caleb Swanigan","Wade Baldwin IV","1"
"305","Caleb Swanigan","Pat Connaughton","28.6292862554953"
"306","Caleb Swanigan","Noah Vonleh","46.110495292413"
"307","Caleb Swanigan","Shabazz Napier","51.9973008030811"
"308","Caleb Swanigan","Ed Davis","70.8869642194612"
"309","Wade Baldwin IV","Pat Connaughton","28.6292862554953"
"310","Wade Baldwin IV","Noah Vonleh","46.110495292413"
"311","Wade Baldwin IV","Shabazz Napier","51.9973008030811"
"312","Wade Baldwin IV","Ed Davis","70.8869642194612"
"313","Giannis Antetokounmpo","Khris Middleton","1.73241408863403"
"314","Giannis Antetokounmpo","Eric Bledsoe","24.175073559615"
"315","Giannis Antetokounmpo","Malcolm Brogdon","8.66438333608638"
"316","Giannis Antetokounmpo","Brook Lopez","32.839498636108"
"317","Giannis Antetokounmpo","Christian Wood","20.0776369157751"
"318","Giannis Antetokounmpo","Pat Connaughton","31.7151418808669"
"319","Giannis Antetokounmpo","Ersan Ilyasova","25.4985152945997"
"320","Giannis Antetokounmpo","Sterling Brown","13.0025032225295"
"321","Giannis Antetokounmpo","Tony Snell","12.4331669179037"
"322","Giannis Antetokounmpo","Matthew Dellavedova","16.1583732002095"
"323","Giannis Antetokounmpo","D.J. Wilson","13.0025032225295"
"324","Giannis Antetokounmpo","John Henson","2.68590719628609"
"325","Giannis Antetokounmpo","Thon Maker","8.66438333608638"
"326","Giannis Antetokounmpo","Bonzie Colson","18.9182029967518"
"327","Giannis Antetokounmpo","Donte DiVincenzo","18.9182029967518"
"328","Giannis Antetokounmpo","Jaylen Morris","13.6142333931948"
"329","Giannis Antetokounmpo","Trevon Duval","18.9182029967518"
"330","Giannis Antetokounmpo","Jabari Parker","22.538176576535"
"331","Giannis Antetokounmpo","Greg Monroe","30.3475250539159"
"332","Giannis Antetokounmpo","Gary Payton II","24.0827325239302"
"333","Giannis Antetokounmpo","Miles Plumlee","40.100773621247"
"334","Giannis Antetokounmpo","Michael Beasley","68.4582127496489"
"335","Giannis Antetokounmpo","Michael Carter-Williams","48.5551927254887"
"336","Giannis Antetokounmpo","Jerryd Bayless","77.6033345481752"
